#TIME	REQUESTED	slurm_script-23628	sps-23631	taskprolog.sh-23632	R-23645	R-23650	R-23651
207	0	1532	1752	0	132988	157540	159876
208	0	1532	1752	0	132988	153664	160116
209	0	1532	1752	0	132988	157392	158664
210	0	1532	1872	0	132988	154968	159872
211	0	1532	1872	0	132988	160000	154884
212	0	1532	1872	0	132988	153580	154040
213	0	1532	1872	0	132988	156224	158836
214	0	1532	1872	0	132988	154996	160028
215	0	1532	1872	0	132988	157408	154788
216	0	1532	1872	0	132988	154948	142368
217	0	1532	1872	0	132988	158796	157364
218	0	1532	1872	0	132988	160132	157408
219	0	1532	1872	0	132988	135980	158804
220	0	1532	1872	0	132988	128312	159964
221	0	1532	1872	0	132988	157412	157412
222	0	1532	1872	0	132988	157568	159656
223	0	1532	1872	0	132988	161332	161172
224	0	1532	1872	0	132988	158820	158648
225	0	1532	1872	0	132988	161216	156288
226	0	1532	1872	0	132988	161408	148500
227	0	1532	1872	0	132988	162688	159920
228	0	1532	1872	0	132988	162688	161208
229	0	1532	1872	0	132988	154904	156088
230	0	1532	1872	0	132988	161352	159968
231	0	1532	1872	0	132988	158852	154768
232	0	1532	1872	0	132988	156140	158796
233	0	1532	1872	0	132988	158796	154804
234	0	1532	1872	0	132988	156208	158852
235	0	1532	1872	0	132988	158728	157392
236	0	1532	1872	0	132988	158840	156116
237	0	1532	1872	0	132988	156288	160072
238	0	1532	1872	0	132988	163936	162480
239	0	1532	1872	0	132988	160132	160120
240	0	1532	1872	0	132988	154836	159988
241	0	1532	1872	0	132988	162640	157428
242	0	1532	1872	0	132988	158844	160000
243	0	1532	1872	0	132988	162556	158636
244	0	1532	1872	0	132988	160092	159964
245	0	1532	1872	0	132988	158828	134772
246	0	1532	1872	0	132988	154804	135964
247	0	1532	1872	0	132988	161404	159944
248	0	1532	1872	0	132988	161280	162584
249	0	1532	1872	0	132988	160048	165132
250	0	1532	1952	0	132988	157440	158792
251	0	1532	1952	0	132988	159916	154764
252	0	1532	1952	0	132988	158616	157420
253	0	1532	1952	0	132988	158804	161320
254	0	1532	1952	0	132988	155012	161320
255	0	1532	1952	0	132988	158728	156288
256	0	1532	1952	0	132988	139524	160024
257	0	1532	1952	0	132988	162616	160024
258	0	1532	1952	0	132988	157476	160072
259	0	1532	1952	0	132988	157568	157572
260	0	1532	1952	0	132988	163908	142368
261	0	1532	1952	0	132988	156084	157388
262	0	1532	1952	0	132988	156204	157500
263	0	1532	1952	0	132988	156276	157476
264	0	1532	1952	0	132988	158600	157476
265	0	1532	1952	0	132988	138536	161320
266	0	1532	1952	0	132988	157388	158728
267	0	1532	1952	0	132988	153516	162652
268	0	1532	1952	0	132988	158624	161220
269	0	1532	2048	0	132988	156136	160052
270	0	1532	2052	0	132988	160048	162672
271	0	1532	2052	0	132988	156056	157360
272	0	1532	2052	0	132988	160076	137256
273	0	1532	2052	0	132988	162452	161276
274	0	1532	2052	0	132988	162688	132144
275	0	1532	2052	0	132988	158652	160096
276	0	1532	2052	0	132988	156104	157328
277	0	1532	2052	0	132988	154816	159960
278	0	1532	2052	0	132988	160112	154928
279	0	1532	2068	0	132988	161344	159876
280	0	1532	2068	0	132988	162560	160132
281	0	1532	2068	0	132988	154900	156092
282	0	1532	2068	0	132988	161236	155012
283	0	1532	2068	0	132988	157544	158792
284	0	1532	2068	0	132988	157540	159964
285	0	1532	2068	0	132988	159876	157428
286	0	1532	2068	0	132988	163832	155012
287	0	1532	2068	0	132988	152460	157408
288	0	1532	2068	0	132988	159956	155012
289	0	1532	2088	0	132988	158640	157428
290	0	1532	2088	0	132988	158792	161380
291	0	1532	2092	0	132988	161356	156220
292	0	1532	2092	0	132988	160028	161304
293	0	1532	2092	0	132988	138536	157320
294	0	1532	2092	0	132988	158712	157428
295	0	1532	2092	0	132988	161368	132144
296	0	1532	2092	0	132988	161368	158640
297	0	1532	2092	0	132988	161304	159884
298	0	1532	2092	0	132988	152392	157328
299	0	1532	2092	0	132988	160048	162432
300	0	1532	2092	0	132988	154824	162432
301	0	1532	2092	0	132988	160016	156068
302	0	1532	2092	0	132988	158824	162600
303	0	1532	2092	0	132988	158596	157324
304	0	1532	2092	0	132988	156540	158600
305	0	1532	2092	0	132988	156232	158652
306	0	1532	2092	0	132988	154764	157412
307	0	1532	2124	0	132988	160064	162628
308	0	1532	2124	0	132988	156220	133424
309	0	1532	2124	0	132988	159896	154768
310	0	1532	2124	0	132988	153584	159972
311	0	1532	2124	0	132988	157388	156192
312	0	1532	2124	0	132988	128312	157408
313	0	1532	2124	0	132988	161304	153648
314	0	1532	2124	0	132988	157356	128312
315	0	1532	2124	0	132988	154788	157476
