#TIME	REQUESTED	slurm_script-23628	sps-23631	taskprolog.sh-23632	R-23645	R-23650	R-23651
219	0	4162	67693	0	6111	91404	113740
220	0	4162	68001	0	6111	92044	114250
221	0	4162	68309	0	6111	92564	114760
222	0	4162	68617	0	6111	93034	115480
223	0	4162	68925	0	6111	93794	115919
224	0	4162	69233	0	6111	94244	116470
225	0	4162	69541	0	6111	94934	116930
226	0	4162	69849	0	6111	95484	117400
227	0	4162	70157	0	6111	96127	118083
228	0	4162	70465	0	6111	96734	118550
229	0	4162	70773	0	6111	97214	119180
230	0	4162	71081	0	6111	97924	119700
231	0	4162	71389	0	6111	98444	120210
232	0	4162	71697	0	6111	99174	120890
233	0	4162	72005	0	6111	99704	121330
234	0	4162	72313	0	6111	100174	121930
235	0	4162	72623	0	6111	100894	122410
236	0	4162	72933	0	6111	101424	122840
237	0	4162	73243	0	6111	102154	123260
238	0	4162	73553	0	6111	102704	123950
239	0	4162	73863	0	6111	103184	124540
240	0	4162	74173	0	6111	103944	125050
241	0	4162	74483	0	6111	104454	125570
242	0	4162	74793	0	6111	105234	126040
243	0	4162	75103	0	6111	105754	126749
244	0	4162	75413	0	6111	106244	127320
245	0	4162	75723	0	6111	107064	127780
246	0	4162	76033	0	6111	107544	128290
247	0	4162	76343	0	6111	108334	128790
248	0	4162	76653	0	6111	108874	129500
249	0	4162	76963	0	6111	109374	130080
250	0	4162	77273	0	6111	110204	130530
251	0	4162	77583	0	6111	110644	130990
252	0	4162	77893	0	6111	111464	131470
253	0	4162	78203	0	6111	111984	132180
254	0	4162	78513	0	6111	112474	132660
255	0	4162	78823	0	6111	113364	133300
256	0	4162	79133	0	6111	113794	133760
257	0	4162	79443	0	6111	114654	134230
258	0	4162	79753	0	6111	115154	134930
259	0	4162	80063	0	6111	115584	135400
260	0	4162	80373	0	6111	116404	135990
261	0	4162	80683	0	6111	116914	136500
262	0	4162	80993	0	6111	117784	136960
263	0	4162	81303	0	6111	118314	137400
264	0	4162	81613	0	6111	118754	138050
265	0	4162	81923	0	6111	119534	138640
266	0	4162	82233	0	6111	120074	139120
267	0	4162	82543	0	6111	120934	139580
268	0	4162	82853	0	6111	121494	140080
269	0	4162	83163	0	6111	121964	140800
270	0	4162	83473	0	6111	122834	141240
271	0	4162	83783	0	6111	123384	141780
272	0	4162	84093	0	6111	124284	142290
273	0	4162	84403	0	6111	124844	142740
274	0	4162	84713	0	6111	125294	143363
275	0	4162	85023	0	6111	126274	143890
276	0	4162	85333	0	6111	126704	144470
277	0	4162	85643	0	6111	127607	144950
278	0	4162	85953	0	6111	128154	145380
279	0	4162	86263	0	6111	128654	145860
280	0	4162	86573	0	6111	129504	146659
281	0	4162	86883	0	6111	130004	147260
282	0	4162	87193	0	6111	130484	147760
283	0	4162	87503	0	6111	131354	148280
284	0	4162	87813	0	6111	131794	148750
285	0	4162	88123	0	6111	132594	149490
286	0	4162	88433	0	6111	133154	149870
287	0	4162	88743	0	6111	133614	150400
288	0	4162	89053	0	6111	134484	150910
289	0	4162	89363	0	6111	135024	151330
290	0	4162	89673	0	6111	135514	151800
291	0	4162	89983	0	6111	136434	152550
292	0	4162	90293	0	6111	136874	153180
293	0	4162	90603	0	6111	137657	153630
294	0	4162	90913	0	6111	138214	154120
295	0	4162	91223	0	6111	138654	154580
296	0	4162	91533	0	6111	139494	155350
297	0	4162	91843	0	6111	140054	155920
298	0	4162	92153	0	6111	140544	156410
299	0	4162	92463	0	6111	141224	156900
300	0	4162	92773	0	6111	141774	157400
301	0	4162	93083	0	6111	142254	158200
302	0	4162	93393	0	6111	142734	158670
303	0	4162	93703	0	6111	143364	159250
304	0	4162	94013	0	6111	143824	159680
305	0	4162	94323	0	6111	144304	160180
306	0	4162	94633	0	6111	144894	161020
307	0	4162	94943	0	6111	145424	161480
308	0	4162	95253	0	6111	145884	162120
309	0	4162	95563	0	6111	146484	162620
310	0	4162	95873	0	6111	147024	163040
311	0	4162	96183	0	6111	147434	163500
312	0	4162	96493	0	6111	147884	164300
313	0	4162	96803	0	6111	148474	164920
314	0	4162	97113	0	6111	149004	165420
315	0	4162	97423	0	6111	149474	165880
316	0	4162	97733	0	6111	150054	166330
317	0	4162	98043	0	6111	150654	167170
318	0	4162	98353	0	6111	151134	167710
319	0	4162	98663	0	6111	151614	168180
320	0	4162	98973	0	6111	152324	168670
321	0	4162	99283	0	6111	152794	169130
322	0	4162	99593	0	6111	153284	169930
323	0	4162	99903	0	6111	153884	170380
324	0	4162	100214	0	6111	154447	170990
325	0	4162	100526	0	6111	154954	171500
326	0	4162	100838	0	6111	155594	172010
327	0	4162	101150	0	6111	156154	172850
328	0	4162	101462	0	6111	156644	173290
329	0	4162	101774	0	6111	157294	173880
330	0	4162	102086	0	6111	157824	174300
331	0	4162	102398	0	6111	158234	174710
332	0	4162	102710	0	6111	158714	175150
333	0	4162	103022	0	6111	159314	176010
334	0	4162	103334	0	6111	159814	176560
335	0	4162	103646	0	6111	160284	177040
336	0	4162	103958	0	6111	160744	177510
337	0	4162	104270	0	6111	161464	178020
338	0	4162	104582	0	6111	161894	178860
339	0	4162	104894	0	6111	162404	179320
340	0	4162	105206	0	6111	163054	179950
341	0	4162	105518	0	6111	163614	180480
342	0	4162	105830	0	6111	164124	180980
343	0	4162	106142	0	6111	164794	181870
344	0	4162	106454	0	6111	165334	182310
345	0	4162	106766	0	6111	165804	182890
346	0	4162	107078	0	6111	166264	183300
347	0	4162	107390	0	6111	166894	183770
348	0	4162	107702	0	6111	167434	184240
349	0	4162	108014	0	6111	167904	185100
350	0	4162	108326	0	6111	168564	185700
351	0	4162	108638	0	6111	169124	186160
352	0	4162	108950	0	6111	169584	186670
353	0	4162	109262	0	6111	170074	187170
354	0	4162	109574	0	6111	170824	188040
355	0	4162	109886	0	6111	171274	188600
356	0	4162	110198	0	6111	171744	189060
357	0	4162	110510	0	6111	172424	189510
358	0	4162	110822	0	6111	172944	189930
359	0	4162	111134	0	6111	173384	190830
360	0	4162	111446	0	6111	173864	191260
361	0	4162	111758	0	6111	174674	191850
362	0	4162	112070	0	6111	175124	192320
363	0	4162	112382	0	6111	175604	192760
364	0	4162	112694	0	6111	176324	193220
365	0	4162	113006	0	6111	176854	194110
366	0	4162	113318	0	6111	177314	194710
367	0	4162	113630	0	6111	177774	195220
368	0	4162	113942	0	6111	178504	195740
369	0	4162	114254	0	6111	178904	196240
370	0	4162	114566	0	6111	179374	197113
371	0	4162	114878	0	6111	180074	197540
372	0	4162	115190	0	6111	180664	198150
373	0	4162	115502	0	6111	181124	198610
374	0	4162	115814	0	6111	181614	199120
375	0	4162	116126	0	6111	182414	200020
376	0	4162	116438	0	6111	182864	200420
377	0	4162	116750	0	6111	183324	200980
378	0	4162	117062	0	6111	184044	201460
379	0	4162	117374	0	6111	184564	201960
380	0	4162	117686	0	6111	184994	202460
381	0	4162	117998	0	6111	185454	203360
382	0	4162	118310	0	6111	186154	203920
383	0	4162	118622	0	6111	186704	204380
384	0	4162	118934	0	6111	187144	204900
385	0	4162	119246	0	6111	187614	205400
386	0	4162	119558	0	6111	188464	206333
387	0	4162	119870	0	6111	188914	206920
388	0	4162	120182	0	6111	189414	207430
389	0	4162	120494	0	6111	190124	207940
390	0	4162	120806	0	6111	190664	208380
391	0	4162	121118	0	6111	191094	209310
392	0	4162	121430	0	6111	191584	209750
393	0	4162	121742	0	6111	192404	210300
394	0	4162	122054	0	6111	192864	210820
395	0	4162	122366	0	6111	193347	211250
396	0	4162	122678	0	6111	194114	211680
397	0	4162	122990	0	6111	194614	212560
398	0	4162	123302	0	6111	195044	213090
