"foi","numOlapA_obs","numOlapA_alt","numOlapA_pval","numOlapAwithin_obs","numOlapAwithin_alt","numOlapAwithin_pval","numOlapB_obs","numOlapB_alt","numOlapB_pval","numOlapBwithin_obs","numOlapBwithin_alt","numOlapBwithin_pval","comOlap_obs","comOlap_alt","comOlap_pval","meandist_obs","meandist_alt","meandist_pval","meanLenOlapB_obs","meanLenOlapB_alt","meanLenOlapB_pval","Anum","Alen","Bnum","Blen"
"ct_hg19_foi_MLT1E2_desc_repSubfamily",2023,"greater",9.99900009999e-05,0,"greater",1,2707,"greater",9.99900009999e-05,2688,"greater",9.99900009999e-05,1018411,"greater",9.99900009999e-05,-518601.355701715,"greater",9.99900009999e-05,377.303287772442,"greater",0.0240975902409759,45004,1800160000,3888,1438726
"ct_hg19_foi_MLT1E3_desc_repSubfamily",942,"greater",0.0020997900209979,0,"greater",1,1225,"greater",0.0806919308069193,1218,"greater",0.0728927107289271,421210,"greater",0.0006999300069993,-1022307.76695405,"greater",9.99900009999e-05,344.444081632653,"greater",9.99900009999e-05,45004,1800160000,1868,614911
"ct_hg19_foi_MLT1F_desc_repSubfamily",1999,"greater",0.0588941105889411,0,"greater",1,2680,"greater",0.334666533346665,2653,"greater",0.305269473052695,902746,"greater",0.0034996500349965,-508887.100813261,"greater",9.99900009999e-05,337.500373134328,"greater",9.99900009999e-05,45004,1800160000,4223,1376434
"ct_hg19_foi_MLT1F-int_desc_repSubfamily",227,"greater",0.236876312368763,0,"greater",1,335,"greater",0.355064493550645,331,"greater",0.368663133686631,135423,"greater",0.106289371062894,-4659429.52724202,"greater",9.99900009999e-05,404.358208955224,"greater",0.0970902909709029,45004,1800160000,511,197132
"ct_hg19_foi_MLT1F1_desc_repSubfamily",1386,"less",0.246875312468753,0,"greater",1,1925,"less",0.0716928307169283,1911,"less",0.0712928707129287,602460,"greater",0.345865413458654,-677609.223713448,"greater",0.0142985701429857,313.274805194805,"greater",9.99900009999e-05,45004,1800160000,3120,939400
"ct_hg19_foi_MLT1F2_desc_repSubfamily",2991,"greater",9.99900009999e-05,0,"greater",1,3943,"greater",9.99900009999e-05,3900,"greater",9.99900009999e-05,1406685,"greater",9.99900009999e-05,-310911.372589103,"greater",9.99900009999e-05,357.586862794826,"greater",0.0002999700029997,45004,1800160000,5890,2058161
"ct_hg19_foi_MLT1G_desc_repSubfamily",1406,"greater",9.99900009999e-05,0,"greater",1,1969,"greater",9.99900009999e-05,1951,"greater",9.99900009999e-05,622159,"greater",9.99900009999e-05,-773001.503021954,"greater",9.99900009999e-05,316.736414423565,"greater",0.0716928307169283,45004,1800160000,2836,885362
"ct_hg19_foi_MLT1G1_desc_repSubfamily",1736,"greater",0.0022997700229977,0,"greater",1,2347,"greater",0.0134986501349865,2322,"greater",0.0114988501149885,771886,"greater",0.0006999300069993,-579295.460514621,"greater",9.99900009999e-05,330.137622496804,"greater",0.0252974702529747,45004,1800160000,3554,1155329
"ct_hg19_foi_MLT1H_desc_repSubfamily",4715,"greater",9.99900009999e-05,0,"greater",1,6719,"greater",9.99900009999e-05,6675,"greater",9.99900009999e-05,1862950,"greater",9.99900009999e-05,-212296.458959204,"greater",9.99900009999e-05,277.821848489359,"greater",0.0004999500049995,45004,1800160000,9997,2735249
"ct_hg19_foi_MLT1H-int_desc_repSubfamily",348,"greater",0.0062993700629937,0,"greater",1,563,"greater",0.0072992700729927,561,"greater",0.0074992500749925,222927,"greater",0.0052994700529947,-3037769.29666252,"greater",9.99900009999e-05,396.573712255773,"greater",0.313468653134687,45004,1800160000,783,306846
"ct_hg19_foi_MLT1H1_desc_repSubfamily",1767,"greater",9.99900009999e-05,0,"greater",1,2385,"greater",0.0010998900109989,2367,"greater",0.0012998700129987,757340,"greater",9.99900009999e-05,-591168.618567238,"greater",9.99900009999e-05,317.989098532495,"greater",0.0366963303669633,45004,1800160000,3557,1109929
"ct_hg19_foi_MLT1H2_desc_repSubfamily",2331,"greater",9.99900009999e-05,0,"greater",1,3180,"greater",9.99900009999e-05,3164,"greater",9.99900009999e-05,677516,"greater",9.99900009999e-05,-429054.546195894,"greater",9.99900009999e-05,213.365094339623,"less",0.191080891910809,45004,1800160000,4656,1000498
"ct_hg19_foi_MLT1I_desc_repSubfamily",5812,"greater",9.99900009999e-05,0,"greater",1,7735,"greater",9.99900009999e-05,7694,"greater",9.99900009999e-05,1670498,"greater",9.99900009999e-05,-162158.525353302,"greater",9.99900009999e-05,216.189010989011,"greater",0.0234976502349765,45004,1800160000,10982,2356880
"ct_hg19_foi_MLT1J_desc_repSubfamily",6924,"greater",0.0004999500049995,0,"greater",1,9754,"greater",0.254674532546745,9677,"greater",0.255674432556744,2408738,"greater",0.0122987701229877,-124182.265176429,"greater",9.99900009999e-05,247.478265327045,"greater",0.0006999300069993,45004,1800160000,15087,3679095
"ct_hg19_foi_MLT1J1_desc_repSubfamily",2696,"greater",9.99900009999e-05,0,"greater",1,3498,"greater",9.99900009999e-05,3478,"greater",9.99900009999e-05,741572,"greater",9.99900009999e-05,-374241.929139632,"greater",9.99900009999e-05,212.09748427673,"greater",0.242475752424758,45004,1800160000,4856,1024735
"ct_hg19_foi_MLT1J2_desc_repSubfamily",3662,"greater",9.99900009999e-05,0,"greater",1,4814,"greater",9.99900009999e-05,4793,"greater",9.99900009999e-05,1072319,"greater",9.99900009999e-05,-269297.483201493,"greater",9.99900009999e-05,223.033859576236,"greater",0.380861913808619,45004,1800160000,6882,1533521
"ct_hg19_foi_MLT1K_desc_repSubfamily",7685,"greater",9.99900009999e-05,0,"greater",1,11674,"greater",0.0016998300169983,11594,"greater",0.0014998500149985,2674377,"greater",9.99900009999e-05,-132960.503888543,"greater",9.99900009999e-05,229.554137399349,"greater",0.0102989701029897,45004,1800160000,18098,4113617
"ct_hg19_foi_MLT1L_desc_repSubfamily",5566,"greater",9.99900009999e-05,0,"greater",1,8001,"greater",9.99900009999e-05,7947,"greater",9.99900009999e-05,1722133,"greater",9.99900009999e-05,-166886.797306906,"greater",9.99900009999e-05,215.550306211724,"greater",0.231076892310769,45004,1800160000,11984,2562007
"ct_hg19_foi_MLT2A1_desc_repSubfamily",1502,"greater",9.99900009999e-05,0,"greater",1,2517,"greater",0.0002999700029997,2491,"greater",0.0002999700029997,706231,"greater",9.99900009999e-05,-697818.953159719,"greater",9.99900009999e-05,281.442193087008,"greater",0.141085891410859,45004,1800160000,3688,1029037
"ct_hg19_foi_MLT2A2_desc_repSubfamily",2184,"greater",9.99900009999e-05,0,"greater",1,2705,"greater",9.99900009999e-05,2679,"greater",9.99900009999e-05,1099766,"greater",9.99900009999e-05,-540239.267176251,"greater",9.99900009999e-05,406.909426987061,"greater",0.0406959304069593,45004,1800160000,3821,1533791
"ct_hg19_foi_MLT2B1_desc_repSubfamily",2137,"greater",9.99900009999e-05,0,"greater",1,3152,"greater",9.99900009999e-05,3128,"greater",9.99900009999e-05,968697,"greater",9.99900009999e-05,-468110.552528664,"greater",9.99900009999e-05,307.967956852792,"greater",0.184081591840816,45004,1800160000,4409,1342686
"ct_hg19_foi_MLT2B2_desc_repSubfamily",1145,"greater",9.99900009999e-05,0,"greater",1,1556,"greater",9.99900009999e-05,1542,"greater",9.99900009999e-05,501664,"greater",9.99900009999e-05,-929928.934894676,"greater",9.99900009999e-05,322.701156812339,"greater",0.0046995300469953,45004,1800160000,2189,684911
"ct_hg19_foi_MLT2B3_desc_repSubfamily",1542,"greater",9.99900009999e-05,0,"greater",1,2137,"greater",0.0224977502249775,2115,"greater",0.0180981901809819,825159,"greater",9.99900009999e-05,-662980.071615856,"greater",9.99900009999e-05,387.207299953205,"greater",0.0004999500049995,45004,1800160000,3230,1199480
"ct_hg19_foi_MLT2B4_desc_repSubfamily",1950,"greater",9.99900009999e-05,0,"greater",1,2931,"greater",0.21047895210479,2909,"greater",0.217278272172783,839280,"greater",0.0042995700429957,-504855.555572838,"greater",9.99900009999e-05,287.006482429205,"greater",0.0014998500149985,45004,1800160000,4502,1251953
"ct_hg19_foi_MLT2C1_desc_repSubfamily",1248,"greater",0.0006999300069993,0,"greater",1,1709,"greater",0.0016998300169983,1698,"greater",0.0012998700129987,418024,"greater",0.0002999700029997,-813540.978335259,"greater",9.99900009999e-05,244.99356348742,"greater",0.0648935106489351,45004,1800160000,2552,610029
"ct_hg19_foi_MLT2C2_desc_repSubfamily",633,"greater",0.0002999700029997,0,"greater",1,889,"greater",0.0108989101089891,883,"greater",0.0112988701129887,225384,"greater",0.0006999300069993,-1707573.00253311,"greater",9.99900009999e-05,254.235095613048,"greater",0.0126987301269873,45004,1800160000,1284,317543
"ct_hg19_foi_MLT2D_desc_repSubfamily",1976,"greater",0.0002999700029997,0,"greater",1,2961,"greater",0.0246975302469753,2944,"greater",0.0212978702129787,732826,"greater",0.0002999700029997,-518664.893165052,"greater",9.99900009999e-05,247.81222559946,"greater",0.0024997500249975,45004,1800160000,4420,1071927
"ct_hg19_foi_MLT2F_desc_repSubfamily",987,"greater",9.99900009999e-05,0,"greater",1,1324,"greater",0.0008999100089991,1313,"greater",0.0008999100089991,440866,"greater",9.99900009999e-05,-1038487.16400764,"greater",9.99900009999e-05,333.23413897281,"greater",0.0004999500049995,45004,1800160000,1910,611125
"ct_hg19_foi_MSTA_desc_repSubfamily",8695,"greater",9.99900009999e-05,0,"greater",1,12633,"greater",0.0122987701229877,12530,"greater",0.0080991900809919,4146288,"greater",9.99900009999e-05,-91282.495955915,"greater",9.99900009999e-05,328.767671970237,"greater",9.99900009999e-05,45004,1800160000,19355,6134254
"ct_hg19_foi_MSTA-int_desc_repSubfamily",1373,"greater",9.99900009999e-05,0,"greater",1,1851,"less",0.0144985501449855,1805,"less",0.0170982901709829,1880329,"greater",0.341465853414659,-1183669.66056351,"greater",9.99900009999e-05,1019.04105888709,"greater",9.99900009999e-05,45004,1800160000,3059,2900480
"ct_hg19_foi_MSTB_desc_repSubfamily",4286,"greater",9.99900009999e-05,0,"greater",1,5631,"greater",9.99900009999e-05,5588,"greater",9.99900009999e-05,1885714,"greater",9.99900009999e-05,-204732.257599325,"greater",9.99900009999e-05,335.242763274729,"greater",9.99900009999e-05,45004,1800160000,8390,2702267
"ct_hg19_foi_MSTB-int_desc_repSubfamily",446,"greater",0.0006999300069993,0,"greater",1,603,"greater",0.0018998100189981,590,"greater",0.0014998500149985,601398,"greater",9.99900009999e-05,-2516602.143765,"greater",9.99900009999e-05,1000.40464344942,"greater",0.0018998100189981,45004,1800160000,868,822510
"ct_hg19_foi_MSTB1_desc_repSubfamily",2533,"greater",9.99900009999e-05,0,"greater",1,3142,"greater",0.11028897110289,3118,"greater",0.0892910708929107,1059856,"greater",9.99900009999e-05,-364548.405008444,"greater",9.99900009999e-05,337.702418841502,"greater",9.99900009999e-05,45004,1800160000,4922,1593211
"ct_hg19_foi_MSTB2_desc_repSubfamily",846,"greater",0.220877912208779,0,"greater",1,1027,"greater",0.198080191980802,1014,"greater",0.198680131986801,341960,"greater",0.117088291170883,-1080641.73477913,"greater",9.99900009999e-05,333.848101265823,"greater",0.288071192880712,45004,1800160000,1582,525713
