"foi","numOlapA_obs","numOlapA_alt","numOlapA_pval","numOlapAwithin_obs","numOlapAwithin_alt","numOlapAwithin_pval","numOlapB_obs","numOlapB_alt","numOlapB_pval","numOlapBwithin_obs","numOlapBwithin_alt","numOlapBwithin_pval","comOlap_obs","comOlap_alt","comOlap_pval","meandist_obs","meandist_alt","meandist_pval","meanLenOlapB_obs","meanLenOlapB_alt","meanLenOlapB_pval"
"ct_LC_foi_ETV6_desc_TF",1587,"less",9.99900009999e-05,0,"greater",1,2838,"less",9.99900009999e-05,2798,"less",9.99900009999e-05,1048150,"less",9.99900009999e-05,-381827.831711242,"less",9.99900009999e-05,391.960183227625,"less",0.436556344365563
"ct_LC_foi_EZH2_desc_TF",234,"less",9.99900009999e-05,0,"greater",1,309,"less",9.99900009999e-05,307,"less",9.99900009999e-05,98589,"less",9.99900009999e-05,-1610723.73967354,"less",9.99900009999e-05,320,"greater",1
"ct_LC_foi_FOS_desc_TF",159,"less",9.99900009999e-05,0,"greater",1,171,"less",9.99900009999e-05,169,"less",9.99900009999e-05,42006,"less",9.99900009999e-05,-2037877.79224462,"less",9.99900009999e-05,247.976608187135,"less",0.415558444155584
"ct_LC_foi_FOXK2_desc_TF",414,"less",9.99900009999e-05,0,"greater",1,590,"less",9.99900009999e-05,582,"less",9.99900009999e-05,226103,"less",9.99900009999e-05,-1511818.84765116,"less",9.99900009999e-05,397.01186440678,"less",0.459454054594541
"ct_LC_foi_FOXM1_desc_TF",1794,"less",9.99900009999e-05,0,"greater",1,3024,"less",9.99900009999e-05,2969,"less",9.99900009999e-05,1318031,"less",9.99900009999e-05,-380967.478734003,"less",9.99900009999e-05,452.630621693122,"less",0.0282971702829717
"ct_LC_foi_GABPA_desc_TF",960,"less",9.99900009999e-05,0,"greater",1,1248,"less",9.99900009999e-05,1233,"less",9.99900009999e-05,450572,"less",9.99900009999e-05,-439374.441796306,"less",9.99900009999e-05,382.832532051282,"greater",9.99900009999e-05
"ct_LC_foi_GATAD2B_desc_TF",1683,"less",9.99900009999e-05,0,"greater",1,3460,"less",9.99900009999e-05,3394,"less",9.99900009999e-05,1462244,"less",9.99900009999e-05,-339602.244386543,"less",9.99900009999e-05,490.376011560694,"greater",9.99900009999e-05
"ct_LC_foi_H2A.Z_br_desc_broadPeak",9683,"less",9.99900009999e-05,0,"greater",1,34977,"less",9.99900009999e-05,33770,"less",9.99900009999e-05,30810958,"less",9.99900009999e-05,-20500.1155644111,"less",9.99900009999e-05,910.019441347171,"less",9.99900009999e-05
"ct_LC_foi_H2A.Z_na_desc_narrowPeak",3738,"less",9.99900009999e-05,0,"greater",1,11062,"less",9.99900009999e-05,10853,"less",9.99900009999e-05,4916670,"less",9.99900009999e-05,-160861.451605487,"less",9.99900009999e-05,450.750677996746,"less",9.99900009999e-05
"ct_LC_foi_H3K27ac_br_desc_broadPeak",5928,"less",9.99900009999e-05,0,"less",0.256274372562744,14601,"less",9.99900009999e-05,13700,"less",9.99900009999e-05,21731007,"less",9.99900009999e-05,-37322.8372289064,"less",9.99900009999e-05,1622.46620094514,"less",9.99900009999e-05
