"foi","numOlapA_obs","numOlapA_alt","numOlapA_pval","numOlapAwithin_obs","numOlapAwithin_alt","numOlapAwithin_pval","numOlapB_obs","numOlapB_alt","numOlapB_pval","numOlapBwithin_obs","numOlapBwithin_alt","numOlapBwithin_pval","comOlap_obs","comOlap_alt","comOlap_pval","meandist_obs","meandist_alt","meandist_pval","meanLenOlapB_obs","meanLenOlapB_alt","meanLenOlapB_pval"
"ct_LC_foi_H2A.Z_br_desc_broadPeak",49964,"greater",9.99900009999e-05,0,"greater",1,184099,"greater",9.99900009999e-05,179485,"greater",9.99900009999e-05,174949070,"greater",0.037996200379962,-16942.8221945818,"greater",9.99900009999e-05,952.812101097779,"less",9.99900009999e-05
"ct_LC_foi_H2A.Z_na_desc_narrowPeak",24469,"less",9.99900009999e-05,0,"greater",1,75878,"less",9.99900009999e-05,74910,"less",9.99900009999e-05,35828616,"less",9.99900009999e-05,-124496.348527136,"less",9.99900009999e-05,472.985503044361,"less",0.195980401959804
"ct_LC_foi_H3K27ac_br_desc_broadPeak",36164,"less",9.99900009999e-05,5,"less",0.365863413658634,101676,"less",9.99900009999e-05,97225,"less",9.99900009999e-05,167634140,"less",9.99900009999e-05,-29103.7845159725,"less",0.0546945305469453,1661.97563830206,"greater",0.0786921307869213
"ct_LC_foi_H3K27ac_na_desc_narrowPeak",20436,"less",9.99900009999e-05,0,"greater",1,71096,"less",9.99900009999e-05,69489,"less",9.99900009999e-05,59633554,"less",9.99900009999e-05,-144050.317992901,"less",9.99900009999e-05,841.299440193541,"greater",0.346965303469653
"ct_LC_foi_H3K27me3_br_desc_broadPeak",49368,"greater",9.99900009999e-05,2,"greater",0.894410558944106,295313,"greater",9.99900009999e-05,285793,"greater",9.99900009999e-05,359471857,"less",0.370862913708629,-13812.6988744956,"greater",9.99900009999e-05,1222.38788336443,"less",9.99900009999e-05
"ct_LC_foi_H3K27me3_na_desc_narrowPeak",7290,"less",9.99900009999e-05,0,"greater",1,15553,"less",9.99900009999e-05,15423,"less",9.99900009999e-05,4011690,"less",9.99900009999e-05,-548619.370233292,"less",9.99900009999e-05,258.081913457211,"less",0.0006999300069993
"ct_LC_foi_H3K36me3_br_desc_broadPeak",32863,"greater",0.0012998700129987,253,"greater",0.152484751524848,108974,"greater",0.105089491050895,100352,"greater",0.0051994800519948,336801394,"less",0.327167283271673,-34125.3189030125,"greater",9.99900009999e-05,3151.08222144732,"less",9.99900009999e-05
"ct_LC_foi_H3K36me3_na_desc_narrowPeak",13527,"less",9.99900009999e-05,0,"greater",1,151098,"less",0.251574842515748,149742,"less",0.276772322767723,53544298,"less",0.307669233076692,-493977.943193884,"less",9.99900009999e-05,354.66899628056,"greater",0.401459854014599
"ct_LC_foi_H3K4me1_br_desc_broadPeak",42833,"less",9.99900009999e-05,9,"less",0.579342065793421,133341,"less",9.99900009999e-05,126534,"less",9.99900009999e-05,254132234,"less",9.99900009999e-05,-35652.9201984043,"greater",9.99900009999e-05,1922.21430767731,"less",0.0054994500549945
"ct_LC_foi_H3K4me1_na_desc_narrowPeak",25461,"less",9.99900009999e-05,0,"greater",1,116665,"less",9.99900009999e-05,114802,"less",9.99900009999e-05,69361145,"less",9.99900009999e-05,-191701.972848345,"less",0.066993300669933,595.790828440406,"less",0.0012998700129987
"ct_LC_foi_H3K4me2_br_desc_broadPeak",39618,"less",9.99900009999e-05,2,"less",0.175382461753825,101252,"less",9.99900009999e-05,96360,"less",9.99900009999e-05,184425356,"less",9.99900009999e-05,-34452.3827473228,"less",0.455454454554545,1837.88822936831,"less",9.99900009999e-05
"ct_LC_foi_H3K4me2_na_desc_narrowPeak",26940,"less",9.99900009999e-05,0,"greater",1,112475,"less",9.99900009999e-05,110273,"less",9.99900009999e-05,81999905,"less",9.99900009999e-05,-127369.666049813,"less",9.99900009999e-05,731.123218492998,"less",9.99900009999e-05
"ct_LC_foi_H3K4me3_br_desc_broadPeak",47202,"greater",9.99900009999e-05,1,"greater",0.966303369663034,121780,"greater",9.99900009999e-05,117448,"greater",9.99900009999e-05,164672689,"less",0.0213978602139786,-9245.70512392683,"greater",9.99900009999e-05,1360.17330431926,"less",9.99900009999e-05
"ct_LC_foi_H3K4me3_na_desc_narrowPeak",18956,"less",9.99900009999e-05,0,"greater",1,68524,"less",9.99900009999e-05,67311,"less",9.99900009999e-05,45197333,"less",9.99900009999e-05,-195850.136274004,"less",9.99900009999e-05,661.060854591092,"less",0.0237976202379762
"ct_LC_foi_H3K79me2_br_desc_broadPeak",42879,"less",0.0348965103489651,262,"greater",0.0288971102889711,147088,"less",9.99900009999e-05,141196,"less",9.99900009999e-05,232145091,"less",0.0024997500249975,-11557.8530776932,"greater",9.99900009999e-05,1599.96661862287,"less",0.0006999300069993
"ct_LC_foi_H3K79me2_na_desc_narrowPeak",11701,"less",9.99900009999e-05,0,"greater",1,144749,"less",0.141185881411859,142762,"less",0.169083091690831,76402233,"less",0.297470252974703,-454363.800382247,"less",9.99900009999e-05,528.971820185286,"greater",0.432356764323568
"ct_LC_foi_H3K9ac_br_desc_broadPeak",57690,"greater",9.99900009999e-05,0,"less",0.096990300969903,178493,"less",9.99900009999e-05,173409,"less",9.99900009999e-05,186580973,"less",9.99900009999e-05,-3025.65948184328,"greater",9.99900009999e-05,1051.63627145042,"less",9.99900009999e-05
"ct_LC_foi_H3K9ac_na_desc_narrowPeak",15185,"less",9.99900009999e-05,0,"greater",1,44377,"less",9.99900009999e-05,43342,"less",9.99900009999e-05,38365313,"less",9.99900009999e-05,-303028.583775749,"less",9.99900009999e-05,867.956756878563,"less",9.99900009999e-05
"ct_LC_foi_H3K9me3_br_desc_broadPeak",56054,"greater",9.99900009999e-05,4,"greater",0.780721927807219,235520,"greater",9.99900009999e-05,228625,"greater",9.99900009999e-05,263262429,"greater",9.99900009999e-05,-4215.23063738131,"greater",9.99900009999e-05,1123.04604704484,"less",9.99900009999e-05
"ct_LC_foi_H3K9me3_na_desc_narrowPeak",17145,"less",0.0021997800219978,0,"greater",1,54360,"greater",0.0126987301269873,53926,"greater",0.0102989701029897,18192380,"greater",0.0183981601839816,-150016.937111307,"less",9.99900009999e-05,335.016593083149,"greater",0.26017398260174
"ct_LC_foi_H4K20me1_br_desc_broadPeak",56205,"greater",9.99900009999e-05,2,"less",0.606139386061394,261546,"less",9.99900009999e-05,255036,"less",9.99900009999e-05,241639741,"less",9.99900009999e-05,-6099.84038164002,"greater",9.99900009999e-05,929.569261238941,"less",9.99900009999e-05
"ct_LC_foi_H4K20me1_na_desc_narrowPeak",4456,"less",9.99900009999e-05,0,"greater",1,11184,"less",9.99900009999e-05,11101,"less",9.99900009999e-05,3059940,"less",9.99900009999e-05,-982758.180080697,"less",9.99900009999e-05,273.856402002861,"less",0.0198980101989801
"ct_LC_foi_HCFC1_desc_TF",5720,"less",9.99900009999e-05,0,"greater",1,7573,"less",9.99900009999e-05,7508,"less",9.99900009999e-05,2214898,"less",9.99900009999e-05,-604326.10942572,"less",9.99900009999e-05,302.572428363924,"less",0.416858314168583
"ct_LC_foi_HDAC2_desc_TF",1078,"less",9.99900009999e-05,0,"greater",1,1357,"less",0.0003999600039996,1334,"less",0.0003999600039996,629593,"less",0.0003999600039996,-4015913.06202409,"greater",0.490550944905509,515.014001473839,"greater",0.181081891810819
"ct_LC_foi_HDAC6_desc_TF",2749,"less",9.99900009999e-05,0,"greater",1,4152,"less",9.99900009999e-05,4104,"less",9.99900009999e-05,1788737,"less",9.99900009999e-05,-1011439.96127476,"less",9.99900009999e-05,496.350192678227,"greater",0.10988901109889
"ct_LC_foi_HDGF_desc_TF",9440,"less",9.99900009999e-05,0,"greater",1,19160,"less",9.99900009999e-05,18949,"less",9.99900009999e-05,7770199,"less",9.99900009999e-05,-524679.020614022,"less",9.99900009999e-05,435.395511482255,"greater",9.99900009999e-05
"ct_LC_foi_HSF1_desc_TF",1947,"less",9.99900009999e-05,0,"greater",1,2258,"less",9.99900009999e-05,2236,"less",9.99900009999e-05,673245,"less",9.99900009999e-05,-1208902.89665686,"less",9.99900009999e-05,303.995128432241,"greater",0.21997800219978
"ct_LC_foi_huCNE_canFam3_100pc_50col_desc_noncoding.bed",27158,"greater",9.99900009999e-05,0,"greater",1,95013,"greater",9.99900009999e-05,94818,"greater",9.99900009999e-05,7450995,"greater",9.99900009999e-05,-84629.9311197403,"greater",9.99900009999e-05,78.6273562565123,"greater",0.0747925207479252
"ct_LC_foi_huCNE_canFam3_96pc_50col_desc_noncoding.bed",49485,"greater",9.99900009999e-05,0,"greater",1,299713,"greater",9.99900009999e-05,298940,"greater",9.99900009999e-05,28730147,"greater",9.99900009999e-05,-18539.1134150411,"greater",9.99900009999e-05,96.2042020199324,"greater",0.0006999300069993
"ct_LC_foi_huCNE_galGal4_80pc_50col_desc_noncoding.bed",21169,"greater",9.99900009999e-05,0,"greater",1,64049,"greater",9.99900009999e-05,63811,"greater",9.99900009999e-05,9571888,"greater",9.99900009999e-05,-130788.549206686,"greater",9.99900009999e-05,150.966010398289,"greater",0.0003999600039996
"ct_LC_foi_huCNE_galGal4_90pc_50col_desc_noncoding.bed",13498,"greater",9.99900009999e-05,0,"greater",1,37551,"greater",9.99900009999e-05,37438,"greater",9.99900009999e-05,4999867,"greater",9.99900009999e-05,-302853.765251949,"greater",9.99900009999e-05,134.275225693057,"greater",0.0003999600039996
"ct_LC_foi_huCNE_galGal4_98pc_50col_desc_noncoding.bed",6237,"greater",9.99900009999e-05,0,"greater",1,17585,"greater",9.99900009999e-05,17540,"greater",9.99900009999e-05,1814209,"greater",9.99900009999e-05,-924539.232897491,"greater",9.99900009999e-05,103.968723343759,"greater",0.134186581341866
"ct_LC_foi_huCNE_gorGor3_100pc_400col_desc_noncoding.bed",45188,"greater",9.99900009999e-05,0,"greater",1,99685,"greater",9.99900009999e-05,98391,"greater",9.99900009999e-05,48771178,"greater",9.99900009999e-05,-11087.7941328156,"greater",9.99900009999e-05,489.514671214325,"greater",0.0240975902409759
"ct_LC_foi_huCNE_gorGor3_100pc_500col_desc_noncoding.bed",8875,"greater",9.99900009999e-05,0,"greater",1,10405,"greater",9.99900009999e-05,10226,"greater",9.99900009999e-05,7516992,"greater",9.99900009999e-05,-189373.325561994,"greater",9.99900009999e-05,723.100336376742,"greater",0.249375062493751
"ct_LC_foi_huCNE_LepOcu1_70pc_30col_desc_noncoding.bed",16918,"less",0.0051994800519948,0,"greater",1,56124,"greater",0.0018998100189981,56002,"greater",0.0018998100189981,4440532,"greater",9.99900009999e-05,-107128.412447289,"less",9.99900009999e-05,79.4253260637161,"greater",9.99900009999e-05
"ct_LC_foi_huCNE_LepOcu1_80pc_30col_desc_noncoding.bed",9220,"greater",9.99900009999e-05,0,"greater",1,31204,"greater",9.99900009999e-05,31140,"greater",9.99900009999e-05,2589933,"greater",9.99900009999e-05,-293559.723235142,"greater",0.000999900009999,83.2314446865786,"greater",0.0006999300069993
"ct_LC_foi_huCNE_LepOcu1_96.6pc_30col_desc_noncoding.bed",3774,"greater",9.99900009999e-05,0,"greater",1,11362,"greater",9.99900009999e-05,11350,"greater",9.99900009999e-05,631414,"greater",9.99900009999e-05,-1293882.47287868,"greater",9.99900009999e-05,55.6200492870973,"less",0.402959704029597
"ct_LC_foi_huCNE_monDom5_100pc_50col_desc_noncoding.bed",7654,"greater",9.99900009999e-05,0,"greater",1,20846,"greater",9.99900009999e-05,20805,"greater",9.99900009999e-05,1707445,"greater",9.99900009999e-05,-705015.873373176,"greater",9.99900009999e-05,82.0024944833541,"greater",0.111388861113889
"ct_LC_foi_huCNE_monDom5_80pc_50col_desc_noncoding.bed",47660,"greater",9.99900009999e-05,0,"greater",1,267363,"greater",9.99900009999e-05,266480,"greater",9.99900009999e-05,32224682,"greater",9.99900009999e-05,-18707.6127324576,"greater",9.99900009999e-05,121.532942104929,"greater",9.99900009999e-05
"ct_LC_foi_huCNE_monDom5_96pc_50col_desc_noncoding.bed",17192,"greater",9.99900009999e-05,0,"greater",1,51445,"greater",9.99900009999e-05,51319,"greater",9.99900009999e-05,5275298,"greater",9.99900009999e-05,-225029.062190941,"greater",9.99900009999e-05,102.787404023715,"greater",0.0042995700429957
"ct_LC_foi_huCNE_rheMac3_100pc_150col_desc_noncoding.bed",23562,"greater",9.99900009999e-05,0,"greater",1,46598,"greater",9.99900009999e-05,46345,"greater",9.99900009999e-05,9336937,"greater",9.99900009999e-05,-80015.1713132907,"greater",9.99900009999e-05,201.077299454912,"greater",0.051994800519948
"ct_LC_foi_huCNE_rheMac3_99.3pc_150col_desc_noncoding.bed",45910,"greater",9.99900009999e-05,0,"greater",1,142069,"greater",9.99900009999e-05,141292,"greater",9.99900009999e-05,29715208,"greater",9.99900009999e-05,-14394.7377059127,"greater",9.99900009999e-05,210.035088583716,"greater",0.0033996600339966
"ct_LC_foi_IKZF1_desc_TF",22662,"less",9.99900009999e-05,0,"greater",1,62659,"less",9.99900009999e-05,61866,"less",9.99900009999e-05,26142270,"less",9.99900009999e-05,-117972.278008676,"less",0.0132986701329867,509.5851992531,"less",0.145585441455854
"ct_LC_foi_IKZF2_desc_TF",19756,"less",9.99900009999e-05,0,"greater",1,47254,"less",9.99900009999e-05,46622,"less",9.99900009999e-05,21707123,"less",9.99900009999e-05,-138764.005521342,"less",0.328067193280672,517.699390527786,"less",0.0123987601239876
"ct_LC_foi_Inverted_Repeat_desc_nonBDNA",65926,"greater",0.129087091290871,0,"greater",1,5889936,"greater",9.99900009999e-05,5886671,"greater",9.99900009999e-05,123329718,"greater",9.99900009999e-05,0,"greater",0.129087091290871,22.4085434884182,"less",9.99900009999e-05
