ID	Gene Name	Species
100873933	DPYD antisense RNA 2(DPYD-AS2)	Homo sapiens	
100506492	DSCAM antisense RNA 1(DSCAM-AS1)	Homo sapiens	
100874326	DSCAM intronic transcript 1(DSCAM-IT1)	Homo sapiens	
28955	Dexi homolog(DEXI)	Homo sapiens	
94236	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 5(DNAJA1P5)	Homo sapiens	
100286922	DnaJ heat shock protein family (Hsp40) member B3 pseudogene(LOC100286922)	Homo sapiens	
259234	Down syndrome critical region 10 (non-protein coding)(DSCR10)	Homo sapiens	
10281	Down syndrome critical region 4(DSCR4)	Homo sapiens	
100505518	EDNRB antisense RNA 1(EDNRB-AS1)	Homo sapiens	
100506475	EGFLAM antisense RNA 2(EGFLAM-AS2)	Homo sapiens	
100852408	EGFLAM antisense RNA 4(EGFLAM-AS4)	Homo sapiens	
100507500	EGFR antisense RNA 1(EGFR-AS1)	Homo sapiens	
339926	EHHADH antisense RNA 1(EHHADH-AS1)	Homo sapiens	
440952	EIF1B antisense RNA 1(EIF1B-AS1)	Homo sapiens	
100861514	ELMO1 antisense RNA 1(ELMO1-AS1)	Homo sapiens	
100506409	ELOVL2 antisense RNA 1(ELOVL2-AS1)	Homo sapiens	
442075	EMC3 antisense RNA 1(EMC3-AS1)	Homo sapiens	
196047	EMX2 opposite strand/antisense RNA(EMX2OS)	Homo sapiens	
728558	ENTPD1 antisense RNA 1(ENTPD1-AS1)	Homo sapiens	
285266	ENTPD3 antisense RNA 1(ENTPD3-AS1)	Homo sapiens	
285965	EPHA1 antisense RNA 1(EPHA1-AS1)	Homo sapiens	
100874278	ERI3 intronic transcript 1(ERI3-IT1)	Homo sapiens	
101409257	EZR antisense RNA 1(EZR-AS1)	Homo sapiens	
285441	F11 antisense RNA 1(F11-AS1)	Homo sapiens	
285512	FAM13A antisense RNA 1(FAM13A-AS1)	Homo sapiens	
100874375	FAM155A intronic transcript 1(FAM155A-IT1)	Homo sapiens	
100506733	FAM170B antisense RNA 1(FAM170B-AS1)	Homo sapiens	
283592	FAM181A antisense RNA 1(FAM181A-AS1)	Homo sapiens	
100533195	FAM24B-CUZD1 readthrough(FAM24B-CUZD1)	Homo sapiens	
100131726	FAM83A antisense RNA 1(FAM83A-AS1)	Homo sapiens	
101410540	FANK1 antisense RNA 1(FANK1-AS1)	Homo sapiens	
439941	FER1L6 antisense RNA 1(FER1L6-AS1)	Homo sapiens	
154860	FEZF1 antisense RNA 1(FEZF1-AS1)	Homo sapiens	
100505641	FGD5 antisense RNA 1(FGD5-AS1)	Homo sapiens	
100129662	FGF13 antisense RNA 1(FGF13-AS1)	Homo sapiens	
283481	FGF14 antisense RNA 2(FGF14-AS2)	Homo sapiens	
283480	FGF14 intronic transcript 1(FGF14-IT1)	Homo sapiens	
100335030	FGFR1 oncogene partner 2 pseudogene(LOC100335030)	Homo sapiens	
100131561	FKSG29(FKSG29)	Homo sapiens	
339400	FLG antisense RNA 1(FLG-AS1)	Homo sapiens	
100126270	FMR1 antisense RNA 1(FMR1-AS1)	Homo sapiens	
100874185	FRMD6 antisense RNA 2(FRMD6-AS2)	Homo sapiens	
100874122	FRMPD3 antisense RNA 1(FRMPD3-AS1)	Homo sapiens	
100507099	FRY antisense RNA 1(FRY-AS1)	Homo sapiens	
100505692	FTO intronic transcript 1(FTO-IT1)	Homo sapiens	
100302692	FTX transcript, XIST regulator (non-protein coding)(FTX)	Homo sapiens	
388965	FUN14 domain containing 2 pseudogene 2(FUNDC2P2)	Homo sapiens	
440119	FZD10 antisense RNA 1 (head to head)(FZD10-AS1)	Homo sapiens	
100129387	GABPB1 antisense RNA 1(GABPB1-AS1)	Homo sapiens	
100506046	GAS5 antisense RNA 1(GAS5-AS1)	Homo sapiens	
100527950	GJA9-MYCBP readthrough(GJA9-MYCBP)	Homo sapiens	
84850	GLIS3 antisense RNA 1(GLIS3-AS1)	Homo sapiens	
149775	GNAS antisense RNA 1(GNAS-AS1)	Homo sapiens	
100289178	GNG12 antisense RNA 1(GNG12-AS1)	Homo sapiens	
100873969	GPC5 antisense RNA 1(GPC5-AS1)	Homo sapiens	
100873972	GPC6 antisense RNA 1(GPC6-AS1)	Homo sapiens	
100873973	GPC6 antisense RNA 2(GPC6-AS2)	Homo sapiens	
101669764	GPR1 antisense RNA(GPR1-AS)	Homo sapiens	
