Repeat_Name,Repeat_Age
LTR104_Mam,Eutheria
LTR105_Mam,Eutheria
LTR106_Mam,Eutheria
LTR107_Mam,Eutheria
LTR108a_Mam,Eutheria
LTR108b_Mam,Eutheria
LTR108c_Mam,Eutheria
LTR108d_Mam,Eutheria
LTR108e_Mam,Eutheria
LTR16,Eutheria
LTR16A,Eutheria
LTR16A1,Eutheria
LTR16A2,Eutheria
LTR16B,Eutheria
LTR16B1,Eutheria
LTR16B2,Eutheria
LTR16C,Eutheria
LTR16D,Eutheria
LTR16D1,Eutheria
LTR16D2,Eutheria
LTR16E1,Eutheria
LTR16E2,Eutheria
LTR33,Eutheria
LTR33A,Eutheria
LTR33A_,Eutheria
LTR33B,Eutheria
LTR33C,Eutheria
LTR37A,Eutheria
LTR37B,Eutheria
LTR37-int,Eutheria
LTR40a,Eutheria
LTR40A1,Eutheria
LTR40b,Eutheria
LTR40c,Eutheria
LTR41,Eutheria
LTR41B,Eutheria
LTR41C,Eutheria
LTR45,Eutheria
LTR50,Eutheria
LTR52,Eutheria
LTR52-int,Eutheria
LTR53,Eutheria
LTR53B,Eutheria
LTR55,Eutheria
LTR58,Eutheria
LTR65,Eutheria
LTR67B,Eutheria
LTR68,Eutheria
LTR69,Eutheria
LTR73,Eutheria
LTR75,Eutheria
LTR75_1,Eutheria
LTR75B,Eutheria
LTR77,Eutheria
LTR78,Eutheria
LTR78B,Eutheria
LTR79,Eutheria
LTR80A,Eutheria
LTR80B,Eutheria
LTR81,Eutheria
LTR81A,Eutheria
LTR81AB,Eutheria
LTR81B,Eutheria
LTR81C,Eutheria
LTR82A,Eutheria
LTR82B,Eutheria
LTR83,Eutheria
LTR84a,Eutheria
LTR84b,Eutheria
LTR85a,Eutheria
LTR85b,Eutheria
LTR85c,Eutheria
LTR86A1,Eutheria
LTR86A2,Eutheria
LTR86B1,Eutheria
LTR86B2,Eutheria
LTR86C,Eutheria
LTR87,Eutheria
LTR88a,Eutheria
LTR88b,Eutheria
LTR88c,Eutheria
LTR89,Eutheria
LTR91,Eutheria
MADE2,Eutheria
MamGypLTR1a,Eutheria
MamGypLTR1b,Eutheria
MamGypLTR1c,Eutheria
MamGypLTR1d,Eutheria
MamGypLTR2b,Eutheria
MamGypLTR2c,Eutheria
MamGypLTR3,Eutheria
MamGypLTR3a,Eutheria
MamRep1151,Eutheria
