,NonHiC_Allbin,HiCAll_Allbin,1_HiCAll,2_HiCAll,3_HiCAll,4_HiCAll,5_HiCAll,6_HiCAll,7_HiCAll,8_HiCAll,9_HiCAll,10_HiCAll,11_HiCAll,12_HiCAll,13_HiCAll,14_HiCAll,15_HiCAll,16_HiCAll,17_HiCAll,18_HiCAll,19_HiCAll,20_HiCAll,21_HiCAll,21_1,1_21
SB,0.0682973734819147,0.931702626518085,0.958717995843524,0.989806738014788,0.992987714362462,0.991701186150736,0.990103629140571,0.988124354968685,0.98598956639758,0.983953741535069,0.981211033039741,0.978256259454569,0.976305260627995,0.973689791186575,0.970494677166245,0.967440939872478,0.963538942219332,0.958930060933369,0.954123252230218,0.943124142903595,0.928491651704296,0.895607425105679,0.810767251495059,0.807160868859953,0.954453511892307
AG,0.0680734476672199,0.93192655233278,0.959024734982332,0.990501766784452,0.993413427561837,0.992706713780919,0.990812720848056,0.989356890459364,0.987406360424028,0.985639575971731,0.983180212014134,0.981526501766784,0.980028268551237,0.977540636042403,0.975816254416961,0.972791519434629,0.969795053003534,0.965879858657244,0.960325088339223,0.949851590106007,0.933469964664311,0.90052296819788,0.810572438162544,0.806915152319052,0.954697635488596
Ov,0.0682446850549277,0.931755314945072,0.955638491878366,0.989680082559339,0.992945700270014,0.991305822978074,0.990090051882325,0.987715057183652,0.98514214626009,0.98263991970256,0.979996324412966,0.976801391068324,0.973281309639934,0.968559593989001,0.966481473627663,0.96348445650791,0.959851280093869,0.954875100725222,0.948739697753651,0.939508319549882,0.924297043979812,0.893323154784625,0.810721404639722,0.806609565230255,0.950791657947967
Bl,0.0676519402513238,0.932348059748676,0.976039105987398,0.994094543810573,0.995097623689639,0.993642451470713,0.991791698454409,0.990166991608036,0.988768330931593,0.986959961572151,0.985914498036224,0.984021361363058,0.981972817948066,0.979726484134384,0.978243056144217,0.975163177078918,0.972055042242378,0.967830804441807,0.961543895340623,0.951174027295075,0.934488994377102,0.900313639060778,0.810205984572349,0.807500796109197,0.972780219013741
MesC,0.067480702863616,0.932519297136384,0.9888268945547,0.997570449890529,0.996765308284483,0.995578783812416,0.994434635214351,0.993248110742284,0.992202839183558,0.991270569955505,0.990239423688114,0.988883395720037,0.987583868917296,0.985634578713186,0.983713539091744,0.980775478494244,0.977964545518751,0.973387951126492,0.966833815947454,0.955957341620171,0.938554982696518,0.902803870329826,0.810057207429903,0.808482372435861,0.986904512799051
MSC,0.0672962933691615,0.932703706630839,0.992190258300499,0.99814995268963,0.99693541781412,0.995622025448742,0.994506348063099,0.993418915674561,0.991950175825107,0.990989845923541,0.990241353500261,0.98861726616673,0.987176771314381,0.985453826490983,0.983377819203774,0.98052507449618,0.977601717295824,0.973139007753252,0.966699148413337,0.955740089536641,0.93834117132003,0.902625372480899,0.809897046985553,0.808813482122523,0.990862802538885
NPC,0.0679153823862589,0.932084617613741,0.963893049942059,0.991139312060145,0.994205929736299,0.993174302591787,0.991520872784828,0.990333794974704,0.988652101410362,0.987168254147706,0.985896385065431,0.98357875695995,0.981854667759532,0.980243633588649,0.977897741725785,0.975156157259546,0.972513495944151,0.967977162884034,0.96173087250219,0.951796161781747,0.935148808682626,0.900780079703796,0.810434979226138,0.806779362821998,0.959545232614912
TLC,0.0676255960378303,0.93237440396217,0.984403254972875,0.996326853526221,0.996199706148282,0.994801084990958,0.9937273960217,0.992950384267631,0.991438743218807,0.990407436708861,0.989319620253165,0.987963381555154,0.986790800180832,0.984982481916817,0.98337194846293,0.980447558770344,0.977692698915009,0.97312952079566,0.966701514466546,0.955950497287523,0.93844654159132,0.902901785714286,0.810183092224231,0.80839552238806,0.982231289670084
ESC,0.0677836613187913,0.932216338681209,0.967557791216865,0.994305657604702,0.996297970948963,0.995153450517154,0.99382524162098,0.992652461425423,0.99139490193862,0.990589498671791,0.989119990956876,0.987975470525066,0.986760300683886,0.984852766630871,0.983241960097214,0.980204035494263,0.977208500536936,0.972927146329057,0.966611089131295,0.955957158198157,0.938619793138529,0.90295597128808,0.810320465720907,0.806954261347041,0.963538397154216
FC,0.0669406464869991,0.933059353513001,0.99909650460218,0.998178892088768,0.996738946298492,0.995524874357671,0.994339036648032,0.993280252978711,0.99206618103789,0.991049748715342,0.990019199277204,0.988522785024564,0.987365181546107,0.985346434016602,0.983468857643006,0.980645434524818,0.977582020441583,0.972909255180981,0.966316562200011,0.955474617426167,0.938039979671354,0.902295442995087,0.809588344909368,0.809472672808455,0.998953756015903
LC,0.0670328512342264,0.932967148765774,0.998432845303477,0.998249304663344,0.996823335074616,0.995482076550565,0.994366714198986,0.993392536955202,0.992023041409592,0.991317115870618,0.990187635008259,0.988719309887193,0.987293340298465,0.985472052407912,0.98360840898502,0.980629403210549,0.977551567860622,0.972934814835731,0.966426181366389,0.955625520620085,0.938104448742747,0.902356379449096,0.80966835618179,0.809426171554625,0.99813419822836
allCT,0.0658341895202719,0.934165810479728,1,0.998378454596729,0.996799210377891,0.995403271291596,0.994134235758601,0.993119007332205,0.991539763113367,0.990693739424704,0.989593908629442,0.987817258883249,0.98649182177101,0.98448956570784,0.982543711223914,0.979568527918782,0.976508742244783,0.971883812746757,0.965284827975183,0.95441342357586,0.936943034404963,0.901240834743373,0.808629441624365,0.808629441624365,1
